categoryNames,recipeNames,recipeLinks,date of post,commentsNumbers,sharesNumbers
beef-and-lamb,Beef Ho Fun Noodle Soup,https://www.chinasichuanfood.com/beef-ho-fun-noodle-soup/,"October 13, 2022",6,316
beef-and-lamb,West Lake Beef Soup,https://www.chinasichuanfood.com/west-lake-beef-soup/,"October 13, 2022",9,351
beef-and-lamb,Lanzhou Beef Noodle Soup,https://www.chinasichuanfood.com/lanzhou-beef-noodle-soup/,"October 13, 2022",20,463
beef-and-lamb,Chinese Beef Noodle Soup,https://www.chinasichuanfood.com/chinese-beef-noodle-soup/,"October 13, 2022",30,1300
beef-and-lamb,Chinese Braised Beef Shank,https://www.chinasichuanfood.com/chinese-braised-beef-shank/,"October 13, 2022",11,1100
beef-and-lamb,Beef Shank Noodles,https://www.chinasichuanfood.com/beef-shank-noodles/,"October 13, 2022",6,378
beef-and-lamb,Chinese Beef Dumplings with Celery,https://www.chinasichuanfood.com/chinese-beef-dumplings-with-celery/,"October 13, 2022",9,1100
beef-and-lamb,Ginger Beef Stir Fry,https://www.chinasichuanfood.com/ginger-beef-stir-fry/,"October 13, 2022",4,1500
beef-and-lamb,Sha Cha Beef,https://www.chinasichuanfood.com/beef-with-sha-cha-sauce/,"October 13, 2022",16,817
beef-and-lamb,Chinese Beef Curry,https://www.chinasichuanfood.com/chinese-beef-curry/,"October 13, 2022",9,4300
beef-and-lamb,Szechuan Beef Stir Fry,https://www.chinasichuanfood.com/shredded-beef-szechuan-style/,"October 13, 2022",43,3500
beef-and-lamb,Beef with Snow Pea Stir Fry,https://www.chinasichuanfood.com/beef-with-snow-pea-stir-fry/,"October 13, 2022",33,7700
beef-and-lamb,Braised Beef with Potatoes,https://www.chinasichuanfood.com/sichuan-braised-beef/,"October 13, 2022",21,3900
beef-and-lamb,Beef Fried Rice,https://www.chinasichuanfood.com/beef-fried-rice/,"October 13, 2022",4,395
beef-and-lamb,Curry Beef Dumplings,https://www.chinasichuanfood.com/curry-beef-dumplings/,"October 13, 2022",9,1500
beef-and-lamb,Sichuan Dry Fried Beef,https://www.chinasichuanfood.com/sichuan-dry-fried-beef/,"October 13, 2022",4,3900
beef-and-lamb,Beef with Scrambled Egg,https://www.chinasichuanfood.com/beef-with-scrambled-egg/,"October 13, 2022",5,159
beef-and-lamb,Oyster Beef with Chinese Broccoli,https://www.chinasichuanfood.com/oyster-beef-with-chinese-broccoli/,"October 13, 2022",28,8000
beef-and-lamb,Black Pepper Beef Noodles,https://www.chinasichuanfood.com/black-pepper-beef-noodles/,"October 13, 2022",5,713
beef-and-lamb,Hot Garlic Sauce with Beef,https://www.chinasichuanfood.com/hot-garlic-sauce-with-beef/,"October 13, 2022",1,245
beef-and-lamb,Beef Balls,https://www.chinasichuanfood.com/beef-balls/,"October 13, 2022",2,101
beef-and-lamb,Beef and Garlic Stir fry,https://www.chinasichuanfood.com/beef-and-garlic-stir-fry/,"October 9, 2022",3,94
beef-and-lamb,Beef Wonton,https://www.chinasichuanfood.com/beef-wonton/,"October 9, 2022",14,35500
beef-and-lamb,Black Pepper Beef Stir Fry,https://www.chinasichuanfood.com/chinese-black-pepper-beef/,"October 9, 2022",64,215900
beef-and-lamb,Shui Zhu Beef (Sichuan Boiled Beef),https://www.chinasichuanfood.com/shui-zhu-beef/,"October 9, 2022",31,1700
beef-and-lamb,Salt and Pepper Crispy Beef,https://www.chinasichuanfood.com/salt-and-pepper-crispy-beef/,"October 9, 2022",1,230
beef-and-lamb,Chinese Beef Congee,https://www.chinasichuanfood.com/chinese-beef-congee/,"October 9, 2022",2,90
